# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# 
# COLUMN DESCRIPTIONS:
# 1  Q  (MSbar renormalization scale)
# 2  Mh (loopOrder = 0, tree-level)
# 3  Mh (loopOrder = 1, 1-loop)
# 4  Mh (loopOrder = 1.5, 1-loop plus 2-loop QCD)
# 5  Mh (loopOrder = 2, full 2-loop)
# 6  Mh (loopOrder = 2.3, includes 3-loop QCD)
# 7  Mh (loopOrder = 2.5, includes 3-loop QCD and yt corrections)
# 
# In the paper: arXiv:1907.02500
# Standard Model parameters in the tadpole-free pure MSbar scheme
# by Stephen P. Martin and David G. Robertson,
# Figure 4.1a graphs columns 3, 4, 5, and 7 as a function of column 1.
# 
60.0  136.74498812  121.42109489  125.29603543  125.43022966  125.38482332  125.19260088
62.0  136.30736674  121.65270671  125.23192316  125.39011148  125.38175234  125.19111633
64.0  135.88620485  121.86671881  125.17521675  125.35459548  125.37797022  125.18924015
66.0  135.48038209  122.06483962  125.12503565  125.32310359  125.37362990  125.18706810
68.0  135.08888605  122.24856727  125.08062023  125.29514025  125.36885581  125.18467678
70.0  134.71079906  122.41922087  125.04131262  125.27027899  125.36374941  125.18212755
72.0  134.34528684  122.57796638  125.00654105  125.24815143  125.35839359  125.17946955
74.0  133.99158881  122.72583807  124.97580678  125.22843829  125.35285612  125.17674213
76.0  133.64900982  122.86375648  124.94867353  125.21086193  125.34719245  125.17397671
78.0  133.31691288  122.99254361  124.92475837  125.19518019  125.34144798  125.17119836
80.0  132.99471297  123.11293564  124.90372431  125.18118127  125.33565975  125.16842697
82.0  132.68187158  123.22559370  124.88527394  125.16867934  125.32985807  125.16567816
84.0  132.37789201  123.33111328  124.86914414  125.15751104  125.32406761  125.16296425
86.0  132.08231515  123.43003199  124.85510155  125.14753238  125.31830836  125.16029470
88.0  131.79471586  123.52283643  124.84293874  125.13861615  125.31259648  125.15767677
90.0  131.51469974  123.60996802  124.83247090  125.13064969  125.30694493  125.15511582
92.0  131.24190026  123.69182810  124.82353306  125.12353308  125.30136400  125.15261577
94.0  130.97597623  123.76878231  124.81597766  125.11717750  125.29586179  125.15017927
96.0  130.71660955  123.84116446  124.80967247  125.11150385  125.29044456  125.14780801
98.0  130.46350321  123.90927986  124.80449878  125.10644157  125.28511703  125.14550289
100.0  130.21637944  123.97340828  124.80034985  125.10192761  125.27988265  125.14326413
102.0  129.97497819  124.03380654  124.79712954  125.09790558  125.27474383  125.14109146
104.0  129.73905557  124.09071077  124.79475113  125.09432491  125.26970208  125.13898420
106.0  129.50838263  124.14433845  124.79313627  125.09114023  125.26475820  125.13694131
108.0  129.28274416  124.19489015  124.79221411  125.08831079  125.25991238  125.13496153
110.0  129.06193762  124.24255119  124.79192045  125.08579992  125.25516434  125.13304339
112.0  128.84577215  124.28749297  124.79219709  125.08357457  125.25051336  125.13118527
114.0  128.63406776  124.32987428  124.79299115  125.08160499  125.24595840  125.12938545
116.0  128.42665447  124.36984240  124.79425462  125.07986428  125.24149818  125.12764213
118.0  128.22337164  124.40753412  124.79594374  125.07832819  125.23713117  125.12595345
120.0  128.02406727  124.44307666  124.79801870  125.07697476  125.23285571  125.12431756
122.0  127.82859742  124.47658840  124.80044320  125.07578410  125.22866994  125.12273253
124.0  127.63682563  124.50817973  124.80318410  125.07473826  125.22457198  125.12119652
126.0  127.44862245  124.53795363  124.80621112  125.07382093  125.22055984  125.11970765
128.0  127.26386496  124.56600630  124.80949662  125.07301734  125.21663147  125.11826409
130.0  127.08243634  124.59242769  124.81301527  125.07231408  125.21278480  125.11686403
132.0  126.90422548  124.61730197  124.81674391  125.07169898  125.20901775  125.11550572
134.0  126.72912662  124.64070802  124.82066132  125.07116101  125.20532823  125.11418743
136.0  126.55703901  124.66271979  124.82474803  125.07069012  125.20171414  125.11290749
138.0  126.38786661  124.68340669  124.82898622  125.07027720  125.19817343  125.11166428
140.0  126.22151780  124.70283394  124.83335951  125.06991396  125.19470404  125.11045623
142.0  126.05790513  124.72106284  124.83785286  125.06959288  125.19130396  125.10928181
144.0  125.89694504  124.73815108  124.84245247  125.06930711  125.18797121  125.10813955
146.0  125.73855767  124.75415299  124.84714567  125.06905043  125.18470384  125.10702804
148.0  125.58266662  124.76911978  124.85192078  125.06881718  125.18149995  125.10594591
150.0  125.42919880  124.78309973  124.85676709  125.06860223  125.17835768  125.10489185
152.0  125.27808418  124.79613842  124.86167473  125.06840091  125.17527520  125.10386460
154.0  125.12925567  124.80827891  124.86663466  125.06820896  125.17225076  125.10286293
156.0  124.98264894  124.81956188  124.87163850  125.06802255  125.16928262  125.10188567
158.0  124.83820230  124.83002582  124.87667860  125.06783819  125.16636911  125.10093172
160.0  124.69585651  124.83970715  124.88174789  125.06765270  125.16350860  125.10000000
162.0  124.55555471  124.84864038  124.88683987  125.06746322  125.16069951  125.09908946
164.0  124.41724223  124.85685819  124.89194855  125.06726715  125.15794030  125.09819913
166.0  124.28086654  124.86439157  124.89706845  125.06706214  125.15522947  125.09732806
168.0  124.14637714  124.87126994  124.90219449  125.06684608  125.15256558  125.09647533
170.0  124.01372539  124.87752119  124.90732202  125.06661705  125.14994723  125.09564007
