# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# Higgs mass^2 parameter m2 = -8626.480863 = -(92.878850)^2;
# Tree-level Vacuum Energy Lambda = 123491489.451852 = (105.416661)^4;
# 
# COLUMN DESCRIPTIONS:
# 1  Q
# 2  Log[Q]
# 3  g3
# 4  g
# 5  gp
# 6  alpha3
# 7  alpha2
# 8  alpha1
# 9  1/alpha3
# 10 1/alpha2
# 11 1/alpha1
# 12  yt
# 13  yb
# 14  yc
# 15  ys
# 16  yd
# 17  yu
# 18  ytau
# 19  ymu
# 20  ye
# 21  lambda
# 22  sqrt(-m2)
# 23  v
# 24  Lambda
# 
# In the paper: arXiv:1907.02500
# Standard Model parameters in the tadpole-free pure MSbar scheme
# by Stephen P. Martin and David G. Robertson,
# Figure 2.1a graphs columns 9, 10, and 11 as a function of column 2, and
# Figure 2.1b graphs columns 12, 13, 14, 15, 16, 17, 18, 19, and 20
# as a function of column 2.
# 
5.623413e+01	1.75000000  1.25445857  0.65361936  0.35626953  0.12522839  0.03399695  0.01683435  7.98541000  29.41440406  59.40236739  1.00224089  0.01694918  0.003666410717  0.000315123998  0.000015823946  0.000007288126  0.00988557  0.000582018973  0.000002762788  0.1515227661  91.09096703  249.98951087  122488174.30239320
1.000000e+02	2.00000000  1.20534190  0.65055198  0.35742678  0.11561406  0.03367861  0.01694389  8.64946715  29.69243766  59.01833292  0.96578773  0.01615121  0.003512311953  0.000302020034  0.000015165932  0.000006981806  0.00994493  0.000585486309  0.000002779247  0.1376740701  92.04825637  248.15586407  122991569.96558914
1.778279e+02	2.25000000  1.16168760  0.64751837  0.35859361  0.10739124  0.03336524  0.01705470  9.31174679  29.97130698  58.63487656  0.93336137  0.01544909  0.003375966236  0.000290431827  0.000014584031  0.000006710776  0.00999671  0.000588512612  0.000002793612  0.1255010781  92.91776385  246.52905002  123516523.89419042
3.162278e+02	2.50000000  1.12254267  0.64451918  0.35977043  0.10027574  0.03305688  0.01716682  9.97250228  30.25089097  58.25191319  0.90423236  0.01482480  0.003254096361  0.000280079380  0.000014064184  0.000006468522  0.01004195  0.000591158071  0.000002806170  0.1146907671  93.71048440  245.07665489  124061651.59499934
5.623413e+02	2.75000000  1.08717325  0.64155479  0.36095757  0.09405625  0.03275349  0.01728030  10.63193584  30.53109351  57.86937529  0.87784593  0.01426476  0.003144221317  0.000270750744  0.000013595747  0.000006250111  0.01008149  0.000593470891  0.000002817149  0.1050085657  94.43531215  243.77329868  124625671.19977318
1.000000e+03	3.00000000  1.05500348  0.63862532  0.36215539  0.08857230  0.03245506  0.01739517  11.29021156  30.81183697  57.48720836  0.85377141  0.01375850  0.003044422840  0.000262282060  0.000013170493  0.000006051730  0.01011601  0.000595490342  0.000002826735  0.0962746991  95.09956926  242.59873553  125207388.23859958
1.778279e+03	3.25000000  1.02557413  0.63573075  0.36336416  0.08369977  0.03216152  0.01751149  11.94746448  31.09305770  57.10536774  0.83166849  0.01329780  0.002953190664  0.000254544334  0.000012781944  0.000005870378  0.01014606  0.000597248890  0.000002835082  0.0883486791  95.70937520  241.53655565  125805684.06901552
3.162278e+03	3.50000000  0.99851377  0.63287089  0.36458419  0.07934111  0.03187281  0.01762928  12.60380717  31.37470289  56.72381641  0.81126411  0.01287612  0.002869316884  0.000247434408  0.000012424919  0.000005703653  0.01017212  0.000598773718  0.000002842321  0.0811188288  96.26991143  240.57327364  126419506.88834386
5.623413e+03	3.75000000  0.97351819  0.63004551  0.36581576  0.07541857  0.03158886  0.01774858  13.25933444  31.65672820  56.34252331  0.79233619  0.01248817  0.002791822005  0.000240868639  0.000012095220  0.000005549607  0.01019457  0.000600087839  0.000002848559  0.0744950240  96.78561551  239.69767290  127047864.61231193
1.000000e+04	4.00000000  0.95033550  0.62725426  0.36705913  0.07186940  0.03130959  0.01786944  13.91412695  31.93909604  55.96146213  0.77470194  0.01212960  0.002719902000  0.000234778376  0.000011789398  0.000005406644  0.01021377  0.000601210926  0.000002853890  0.0684035474  97.26032614  238.90032418  127689819.12830538
1.778279e+04	4.25000000  0.92875504  0.62449678  0.36831457  0.06864241  0.03103491  0.01799189  14.56825389  32.22177426  55.58061036  0.75820930  0.01179684  0.002652889668  0.000229106656  0.000011504593  0.000005273436  0.01022999  0.000602159944  0.000002858395  0.0627833693  97.69739362  238.17322566  128344481.57855202
3.162278e+04	4.50000000  0.90859906  0.62177265  0.36958235  0.06569536  0.03076475  0.01811596  15.22177506  32.50473513  55.19994862  0.74273055  0.01148687  0.002590225932  0.000223805752  0.000011238408  0.000005148872  0.01024349  0.000602949633  0.000002862143  0.0575834085  98.09976514  237.50952935  129011008.42683896
5.623413e+04	4.75000000  0.88971638  0.61908142  0.37086272  0.06299315  0.03049901  0.01824170  15.87474256  32.78795457  54.81946008  0.72815750  0.01119718  0.002531438190  0.000218835325  0.000010988818  0.000005032014  0.01025450  0.000603592894  0.000002865197  0.0527604849  98.47005164  236.90333018  129688598.12962572
