# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# Delta_hadronic^(5) alpha(MZ) = 0.027640
# 
# COLUMN DESCRIPTIONS:
# 1  Q (from SMDR_mcmc_EXPT down to 1 GeV)
# 2  alphaS
# 3  alpha
# 4  ms
# 5  md
# 6  mu
# 7  mmuon
# 8  melectron
# 
# In the paper: arXiv:1907.02500
# Standard Model parameters in the tadpole-free pure MSbar scheme
# by Stephen P. Martin and David G. Robertson,
# Figure 2.2a graphs columns 2 and 3 as a function of column 1, and
# Figure 2.2b graphs columns 4, 5, 6, 7, and 8 as a function of column 1.
# 
1.060833  0.45212256  0.00745878  0.11918915  0.00598547  0.00277074  0.10455527  0.00049631
1.056863  0.45367795  0.00745859  0.11943923  0.00599803  0.00277657  0.10455666  0.00049632
1.052908  0.45524651  0.00745839  0.11969136  0.00601069  0.00278244  0.10455805  0.00049633
1.048968  0.45682842  0.00745820  0.11994556  0.00602346  0.00278836  0.10455945  0.00049633
1.045043  0.45842388  0.00745801  0.12020186  0.00603633  0.00279434  0.10456084  0.00049634
1.041132  0.46003309  0.00745781  0.12046030  0.00604931  0.00280036  0.10456223  0.00049635
1.037236  0.46165624  0.00745762  0.12072092  0.00606240  0.00280643  0.10456363  0.00049635
1.033354  0.46329356  0.00745742  0.12098373  0.00607559  0.00281256  0.10456502  0.00049636
1.029487  0.46494524  0.00745723  0.12124878  0.00608891  0.00281873  0.10456641  0.00049637
1.025635  0.46661151  0.00745703  0.12151611  0.00610233  0.00282496  0.10456780  0.00049637
1.021797  0.46829258  0.00745684  0.12178573  0.00611587  0.00283124  0.10456920  0.00049638
1.017973  0.46998869  0.00745664  0.12205771  0.00612953  0.00283758  0.10457059  0.00049639
1.014164  0.47170006  0.00745645  0.12233206  0.00614331  0.00284397  0.10457198  0.00049639
1.010368  0.47342693  0.00745626  0.12260882  0.00615720  0.00285042  0.10457338  0.00049640
1.006587  0.47516954  0.00745606  0.12288805  0.00617123  0.00285693  0.10457477  0.00049641
1.002820  0.47692814  0.00745587  0.12316976  0.00618537  0.00286349  0.10457616  0.00049641
0.999068  0.47870297  0.00745567  0.12345402  0.00619965  0.00287012  0.10457755  0.00049642
0.995329  0.48049430  0.00745548  0.12374084  0.00621405  0.00287680  0.10457895  0.00049643
0.991604  0.48230240  0.00745528  0.12403029  0.00622859  0.00288354  0.10458034  0.00049643
0.987894  0.48412753  0.00745509  0.12432241  0.00624326  0.00289035  0.10458173  0.00049644
0.984197  0.48596997  0.00745489  0.12461722  0.00625806  0.00289722  0.10458313  0.00049645
0.980514  0.48783000  0.00745470  0.12491479  0.00627301  0.00290415  0.10458452  0.00049645
0.976844  0.48970791  0.00745450  0.12521516  0.00628809  0.00291115  0.10458591  0.00049646
0.973189  0.49160400  0.00745430  0.12551838  0.00630332  0.00291821  0.10458730  0.00049647
