# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# Higgs mass^2 parameter m2 = -8626.480863 = -(92.878850)^2;
# 
# COLUMN DESCRIPTIONS:
# 1  Q (MSbar renormalization scale)
# 2  v(0)   (loopOrder = 0,   tree-level)
# 3  v(1)   (loopOrder = 1,   1-loop)
# 4  v(2)   (loopOrder = 2,   2-loop)
# 5  v(2.5) (loopOrder = 2.5, includes leading 3-loop)
# 6  v(3)   (loopOrder = 3,   full 3-loop)
# 7  v(3.5) (loopOrder = 3.5, full 3-loop + QCD 4-loop)
# 8  v(0)/vrun
# 9  v(1)/vrun
# 10  v(2)/vrun
# 11  v(2.5)/vrun
# 12  v(3)/vrun
# 13  v(3.5)/vrun
# 
# In the paper: arXiv:1907.02500
# Standard Model parameters in the tadpole-free pure MSbar scheme
# by Stephen P. Martin and David G. Robertson,
# Figure 3.2a graphs columns 3, 4, 5, 6, and 7 as a function of column 1, and
# Figure 3.2b graphs columns 10, 11, 12, and 13 as a function of column 1.
# 
114.0  251.29743359  249.25991420  247.98643087  247.75803113  247.83528518  247.76502557  1.01424210  1.00601862  1.00087882  0.99995699  1.00026879  0.99998522
116.0  251.72525959  249.19452548  247.94294464  247.71196555  247.78579474  247.71438902  1.01617639  1.00596020  1.00090776  0.99997533  1.00027337  0.99998511
118.0  252.14591465  249.13339007  247.90039059  247.66678935  247.73735940  247.66481840  1.01807823  1.00591470  1.00093627  0.99999307  1.00027801  0.99998511
120.0  252.55963943  249.07626033  247.85875108  247.62247318  247.68994030  247.61627148  1.01994873  1.00588129  1.00096444  1.00001024  1.00028271  0.99998520
122.0  252.96666262  249.02290639  247.81800813  247.57898917  247.64349988  247.56870887  1.02178891  1.00585919  1.00099234  1.00002689  1.00028746  0.99998536
124.0  253.36720176  248.97311454  247.77814351  247.53631083  247.59800354  247.52209410  1.02359975  1.00584770  1.00102004  1.00004304  1.00029227  0.99998560
126.0  253.76146390  248.92668600  247.73913890  247.49441294  247.55341829  247.47639254  1.02538219  1.00584615  1.00104759  1.00005872  1.00029714  0.99998590
128.0  254.14964632  248.88343547  247.70097592  247.45327149  247.50971116  247.43156930  1.02713713  1.00585392  1.00107505  1.00007396  1.00030206  0.99998625
130.0  254.53193707  248.84319018  247.66363625  247.41286357  247.46685443  247.38759485  1.02886542  1.00587044  1.00110247  1.00008880  1.00030704  0.99998666
132.0  254.90851562  248.80578880  247.62710168  247.37316731  247.42481819  247.34443921  1.03056786  1.00589518  1.00112988  1.00010325  1.00031207  0.99998710
134.0  255.27955331  248.77108054  247.59135415  247.33416182  247.38357772  247.30207396  1.03224523  1.00592765  1.00115732  1.00011734  1.00031716  0.99998759
136.0  255.64521384  248.73892432  247.55637582  247.29582713  247.34310548  247.26047207  1.03389827  1.00596737  1.00118482  1.00013109  1.00032230  0.99998811
138.0  256.00565376  248.70918802  247.52214906  247.25814411  247.30337791  247.21960833  1.03552769  1.00601392  1.00121242  1.00014453  1.00032750  0.99998866
