# SMDR (Standard Model in Dimensional Regularization) v1.0
# Q = 173.100000;
# gauge  couplings: g3 = 1.163624;      g = 0.647660;      gp = 0.358539;
# Yukawa couplings: yt = 0.934801;     yb = 0.015480;    ytau = 0.00999444;
#                   yc = 0.0033820;    ys = 0.00029094;   ymu = 0.000588380;
#                   yu = 0.0000067228; yd = 0.000014610;   ye = 0.00000279298;
# Higgs self-coupling lambda = 0.126038;
# Higgs VEV = 246.601091;
# 
# COLUMN DESCRIPTIONS:
# 1    Q
# 2    Mt tree
# 3    Mt 1-loop QCD
# 4    Mt 2-loop QCD
# 5    Mt 3-loop QCD
# 6    Mt 4-loop QCD
# 7    Mt     4-loop QCD + 1-loop nonQCD
# 8    Gammat 4-loop QCD + 1-loop nonQCD
# 9    Mt     4-loop QCD + 1-loop nonQCD + 2-loop mixed
# 10   Gammat 4-loop QCD + 1-loop nonQCD + 2-loop mixed
# 11   Mt     4-loop QCD + 1-loop nonQCD + 2-loop full
# 12   Gammat 4-loop QCD + 1-loop nonQCD + 2-loop full
# 
50.0	178.87094699	169.82230509	171.39103356	171.70697851	171.75871796	173.36281589	1.65935460	173.36652203	1.12421729	173.17845931	1.26844191
52.0	178.29611662	169.97097440	171.43317454	171.76369904	171.82191876	173.33584016	1.63833633	173.36470102	1.13764586	173.18102810	1.27410053
54.0	177.74824815	170.10445863	171.47513521	171.81770120	171.88220037	173.31132278	1.61846021	173.36213703	1.14988888	173.18276606	1.27909436
56.0	177.22511591	170.22450805	171.51669127	171.86924977	171.93979993	173.28899218	1.59962360	173.35896564	1.16108084	173.18380634	1.28350487
58.0	176.72475086	170.33262324	171.55767471	171.91857012	171.99492854	173.26861533	1.58173644	173.35529929	1.17133707	173.18426031	1.28740149
60.0	176.24540322	170.43009763	171.59796108	171.96585574	172.04777471	173.24999096	1.56471928	173.35123150	1.18075696	173.18422140	1.29084367
62.0	175.78551156	170.51805167	171.63745973	172.01127403	172.09850727	173.23294432	1.54850176	173.34684024	1.18942668	173.18376825	1.29388260
64.0	175.34367715	170.59746046	171.67610634	172.05497094	172.14727787	173.21732282	1.53302132	173.34219072	1.19742122	173.18296726	1.29656254
66.0	174.91864244	170.66917629	171.71385710	172.09707454	172.19422306	173.20299262	1.51822206	173.33733753	1.20480617	173.18187462	1.29892196
68.0	174.50927298	170.73394715	171.75068421	172.13769794	172.23946620	173.18983576	1.50405392	173.33232649	1.21163910	173.18053803	1.30099438
70.0	174.11454213	170.79243192	171.78657236	172.17694160	172.28311901	173.17774792	1.49047189	173.32719609	1.21797081	173.17899805	1.30280918
72.0	173.73351800	170.84521311	171.82151599	172.21489525	172.32528292	173.16663641	1.47743536	173.32197869	1.22384618	173.17728924	1.30439218
74.0	173.36535235	170.89280743	171.85551705	172.25163941	172.36605028	173.15641863	1.46490758	173.31670154	1.22930510	173.17544113	1.30576612
76.0	173.00927100	170.93567464	171.88858333	172.28724670	172.40550532	173.14702072	1.45285524	173.31138757	1.23438308	173.17347895	1.30695116
78.0	172.66456560	170.97422505	171.92072706	172.32178286	172.44372511	173.13837641	1.44124800	173.30605604	1.23911184	173.17142429	1.30796514
80.0	172.33058649	171.00882590	171.95196388	172.35530766	172.48078029	173.13042608	1.43005821	173.30072318	1.24351981	173.16929568	1.30882396
82.0	172.00673648	171.03980672	171.98231192	172.38787566	172.51673575	173.12311595	1.41926059	173.29540260	1.24763252	173.16710902	1.30954181
84.0	171.69246546	171.06746397	172.01179114	172.41953680	172.55165122	173.11639739	1.40883197	173.29010569	1.25147296	173.16487792	1.31013136
86.0	171.38726562	171.09206498	172.04042282	172.45033693	172.58558181	173.11022630	1.39875107	173.28484199	1.25506192	173.16261410	1.31060398
88.0	171.09066731	171.11385136	172.06822905	172.48031834	172.61857843	173.10456259	1.38899832	173.27961942	1.25841818	173.16032761	1.31096990
90.0	170.80223538	171.13304198	172.09523246	172.50952007	172.65068824	173.09936978	1.37955567	173.27444456	1.26155880	173.15802708	1.31123832
92.0	170.52156591	171.14983546	172.12145591	172.53797827	172.68195494	173.09461456	1.37040642	173.26932281	1.26449926	173.15571991	1.31141754
94.0	170.24828336	171.16441245	172.14692231	172.56572654	172.71241918	173.09026650	1.36153517	173.26425858	1.26725370	173.15341244	1.31151506
96.0	169.98203799	171.17693754	172.17165439	172.59279611	172.74211874	173.08629768	1.35292759	173.25925544	1.26983499	173.15111011	1.31153770
98.0	169.72250362	171.18756095	172.19567463	172.61921612	172.77108887	173.08268253	1.34457039	173.25431624	1.27225492	173.14881754	1.31149162
100.0	169.46937555	171.19642003	172.21900513	172.64501381	172.79936245	173.07939752	1.33645124	173.24944318	1.27452427	173.14653868	1.31138244
102.0	169.22236879	171.20364057	172.24166756	172.67021467	172.82697023	173.07642100	1.32855861	173.24463797	1.27665295	173.14427689	1.31121526
104.0	168.98121638	171.20933794	172.26368306	172.69484260	172.85394098	173.07373299	1.32088177	173.23990183	1.27865005	173.14203501	1.31099475
106.0	168.74566795	171.21361812	172.28507225	172.71892007	172.88030169	173.07131507	1.31341069	173.23523561	1.28052395	173.13981541	1.31072516
108.0	168.51548839	171.21657860	172.30585514	172.74246819	172.90607766	173.06915019	1.30613600	173.23063983	1.28228236	173.13762010	1.31041038
110.0	168.29045665	171.21830919	172.32605118	172.76550689	172.93129271	173.06722257	1.29904891	173.22611472	1.28393242	173.13545073	1.31005397
112.0	168.07036467	171.21889273	172.34567922	172.78805495	172.95596920	173.06551757	1.29214118	173.22166027	1.28548071	173.13330866	1.30965920
